submission time,What is your name?,What is the team you are pit scouting?,vibe rating,What's the robots drivetrain?,What is the robots weight?,What are their robots scoring abilities?,What are their robots scoring abilities?/L1 Coral Place,What are their robots scoring abilities?/L2 Coral Place,What are their robots scoring abilities?/L3 Coral Place,What are their robots scoring abilities?/L4 Coral Place,What are their robots scoring abilities?/Coral Ground Pick,What are their robots scoring abilities?/Coral Station Pick,What are their robots scoring abilities?/Algae Reef Removal,What are their robots scoring abilities?/Algae Ground Pick,What are their robots scoring abilities?/Algae Processor Place,What are their robots scoring abilities?/Algae Net Shot Place,How many auton variations do they have?,robot images
2025-03-21T18:53:22.604-04:00,Maggie,2016,5,Swerve,110,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Algae Reef Removal Algae Ground Pick Algae Processor Place Algae Net Shot Place,1,1,1,1,0,0,1,1,1,1,1,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\2016Robot.jpg
2025-03-21T19:02:44.875-04:00,Madelyn tat,365,4,Swerve,113,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Station Pick Algae Reef Removal Algae Ground Pick Algae Processor Place,1,1,1,1,0,1,1,1,1,0,10,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\365Robot.jpg
2025-03-21T19:06:49.611-04:00,Jeremiah Park,103,4,Swerve,114,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Ground Pick Coral Station Pick Algae Reef Removal Algae Ground Pick Algae Processor Place Algae Net Shot Place,1,1,1,1,1,1,1,1,1,1,3,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\103Robot.jpg
2025-03-21T19:07:42.193-04:00,Madelyn tat,5113,5,Swerve,98,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Station Pick Algae Reef Removal Algae Processor Place,1,1,1,1,0,1,1,0,1,0,2,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\5113Robot.jpg
2025-03-21T19:08:26.474-04:00,Maggie (s),4652,5,Mecanum,98,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Station Pick Algae Ground Pick Algae Processor Place,1,1,1,1,0,1,0,1,1,0,2,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\4652Robot.jpg
2025-03-21T19:09:53.288-04:00,Jeremiah Park (D),272,3,Swerve,113,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Station Pick Algae Reef Removal Algae Ground Pick Algae Processor Place Algae Net Shot Place,1,1,1,1,0,1,1,1,1,1,1,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\272Robot.jpg
2025-03-21T19:10:52.558-04:00,Maggie (d),4653,4,Swerve,99,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Station Pick Algae Reef Removal Algae Ground Pick Algae Processor Place,1,1,1,1,0,1,1,1,1,0,1,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\4653Robot.jpg
2025-03-21T19:11:55.375-04:00,Jeremiah Park (D?),316,4,Swerve,115,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Station Pick Algae Ground Pick Algae Processor Place Algae Net Shot Place,1,1,1,1,0,1,0,1,1,1,3,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\316Robot.jpg
2025-03-21T19:15:30.639-04:00,Madelyn t,2720,5,Swerve,114,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Station Pick Algae Reef Removal,1,1,1,1,0,1,1,0,0,0,1,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\2720Robot.jpg
2025-03-21T19:15:32.716-04:00,Jeremiah Park (D),484,4,Swerve,110,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Station Pick Algae Reef Removal,1,1,1,1,0,1,1,0,0,0,3,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\484Robot.jpg
2025-03-21T19:17:33.117-04:00,Jeremiah Park,708,4,Swerve,114,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Station Pick Algae Reef Removal Algae Processor Place Algae Net Shot Place,1,1,1,1,0,1,1,0,1,1,4,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\708Robot.jpg
2025-03-21T19:18:41.677-04:00,Maggie (),1257,5,Swerve,103,L1 Coral Place L2 Coral Place L3 Coral Place Coral Station Pick Algae Reef Removal Algae Ground Pick Algae Processor Place,1,1,1,0,0,1,1,1,1,0,9999,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\1257Robot.jpg
2025-03-21T19:23:58.622-04:00,Madelyn tat,7414,1,Swerve,115,L1 Coral Place L2 Coral Place L3 Coral Place,1,1,1,0,0,0,0,0,0,0,3,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\7414Robot.jpg
2025-03-21T19:09:24.724-04:00,Eric,427,2,Swerve,92,L1 Coral Place,1,0,0,0,0,0,0,0,0,0,1,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\427Robot.jpg
2025-03-21T19:27:10.297-04:00,Eric,7587,4,Swerve,110,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Station Pick Algae Reef Removal,1,1,1,1,0,1,1,0,0,0,0,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\7587Robot.jpg
2025-03-21T19:37:45.063-04:00,Eric,9094,5,Swerve,114,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Station Pick Algae Reef Removal Algae Processor Place Algae Net Shot Place,1,1,1,1,0,1,1,0,1,1,3,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\9094Robot.jpg
2025-03-21T19:41:50.934-04:00,Eric,321,4,Swerve,115,L2 Coral Place L3 Coral Place L4 Coral Place Coral Station Pick Algae Reef Removal,0,1,1,1,0,1,1,0,0,0,3,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\321Robot.jpg
2025-03-21T19:44:18.436-04:00,Eric(D),1712,3,Swerve,98,Algae Reef Removal Algae Ground Pick Algae Processor Place,0,0,0,0,0,0,1,1,1,0,3,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\1712Robot.jpg
2025-03-22T09:27:11.725-04:00,Riya Kumar,486,3,Swerve,115,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Ground Pick Coral Station Pick Algae Processor Place,1,1,1,1,1,1,0,0,1,0,3,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\486Robot.jpg
2025-03-22T09:36:31.410-04:00,Ryan Kumar (4575 can deep climb),4575,4,Swerve,113,L1 Coral Place Coral Station Pick Algae Ground Pick Algae Processor Place,1,0,0,0,0,1,0,1,1,0,3,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\4575Robot.jpg
2025-03-22T10:37:25.088-04:00,Riya Kumar,10143,3,Tank,77,L1 Coral Place Coral Station Pick,1,0,0,0,0,1,0,0,0,0,1,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\10143Robot.jpg
2025-03-22T10:37:38.809-04:00,Vihaan,1089,4,Swerve,112,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Station Pick Algae Reef Removal,1,1,1,1,0,1,1,0,0,0,3,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\1089Robot.jpg
2025-03-22T10:39:43.443-04:00,Riya Kumar does not climb,8721,2,Tank,66,L1 Coral Place Coral Station Pick,1,0,0,0,0,1,0,0,0,0,1,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\8721Robot.jpg
2025-03-22T10:40:42.138-04:00,Maggie (),8704,5,Swerve,60,L1 Coral Place L2 Coral Place L3 Coral Place Coral Station Pick,1,1,1,0,0,1,0,0,0,0,1,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\8704Robot.jpg
2025-03-22T10:44:02.155-04:00,Maggie (),566,5,Tank,82,L1 Coral Place Coral Station Pick,1,0,0,0,0,1,0,0,0,0,1,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\566Robot.jpg
2025-03-22T10:48:08.178-04:00,Riya Kumar deep climb,9015,4,Swerve,,L1 Coral Place L2 Coral Place L3 Coral Place L4 Coral Place Coral Station Pick Algae Reef Removal,1,1,1,1,0,1,1,0,0,0,1,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\9015Robot.jpg
2025-03-22T11:22:01.213-04:00,Vihaan,6226,4,Swerve,84,L2 Coral Place L3 Coral Place Coral Station Pick Algae Reef Removal,0,1,1,0,0,1,1,0,0,0,2,C:\Users\vihaa\Code\FRC7414\VScouterPit\parsing\data\robot_images\6226Robot.jpg
